figure_id,model,condition,layer,point_order,fpr,tpr,risk_threshold,margin_threshold,status,source
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,27,0.1538461538,0.3513513514,-14.2159500122,14.2159500122,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,28,0.1538461538,0.3783783784,-14.2959098816,14.2959098816,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,29,0.1648351648,0.3783783784,-14.7286567688,14.7286567688,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,30,0.1648351648,0.4054054054,-14.9716243744,14.9716243744,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,31,0.1648351648,0.4324324324,-14.9976186752,14.9976186752,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,32,0.1648351648,0.4594594595,-15.2229099274,15.2229099274,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,33,0.1648351648,0.4864864865,-15.2583961487,15.2583961487,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,34,0.1758241758,0.4864864865,-15.4664955139,15.4664955139,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,35,0.1868131868,0.4864864865,-15.6391410828,15.6391410828,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,36,0.1978021978,0.4864864865,-15.7563018799,15.7563018799,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,37,0.2087912088,0.4864864865,-16.0587272644,16.0587272644,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,38,0.2087912088,0.5135135135,-16.0775947571,16.0775947571,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,39,0.2087912088,0.5405405405,-16.0918521881,16.0918521881,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,40,0.2197802198,0.5405405405,-16.2395629883,16.2395629883,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,41,0.2307692308,0.5405405405,-16.2492771149,16.2492771149,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,42,0.2307692308,0.5675675676,-16.7941570282,16.7941570282,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,43,0.2307692308,0.5945945946,-16.7946357727,16.7946357727,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,44,0.2417582418,0.5945945946,-17.0711784363,17.0711784363,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
fig:speca,Qwen/Qwen2.5-3B-Instruct,wanda_50,24,45,0.2417582418,0.6216216216,-17.1250648499,17.1250648499,measured,results/phase2_readout_repair_v1_shards/wanda_50/repair_details.csv
